Participant_ID,Questions,Method,Responses,
1,Is the image clear and sharp?,LUXNet (ours),5,
2,Is the image clear and sharp?,LUXNet (ours),4,
3,Is the image clear and sharp?,LUXNet (ours),5,
4,Is the image clear and sharp?,LUXNet (ours),4,
5,Is the image clear and sharp?,LUXNet (ours),4,
6,Is the image clear and sharp?,LUXNet (ours),5,
7,Is the image clear and sharp?,LUXNet (ours),4,
8,Is the image clear and sharp?,LUXNet (ours),4,
9,Is the image clear and sharp?,LUXNet (ours),3,
10,Is the image clear and sharp?,LUXNet (ours),4,
11,Is the image clear and sharp?,LUXNet (ours),4,
12,Is the image clear and sharp?,LUXNet (ours),4,
13,Is the image clear and sharp?,LUXNet (ours),4,
14,Is the image clear and sharp?,LUXNet (ours),4,
15,Is the image clear and sharp?,LUXNet (ours),4,
16,Is the image clear and sharp?,LUXNet (ours),4,
17,Is the image clear and sharp?,LUXNet (ours),5,
18,Is the image clear and sharp?,LUXNet (ours),4,
19,Is the image clear and sharp?,LUXNet (ours),4,
20,Is the image clear and sharp?,LUXNet (ours),4,
21,Is the image clear and sharp?,LUXNet (ours),4,
22,Is the image clear and sharp?,LUXNet (ours),4,
23,Is the image clear and sharp?,LUXNet (ours),4,
24,Is the image clear and sharp?,LUXNet (ours),4,
25,Is the image clear and sharp?,LUXNet (ours),5,
26,Is the image clear and sharp?,LUXNet (ours),4,
27,Is the image clear and sharp?,LUXNet (ours),4,
28,Is the image clear and sharp?,LUXNet (ours),5,
29,Is the image clear and sharp?,LUXNet (ours),5,
30,Is the image clear and sharp?,LUXNet (ours),5,
31,Is the image clear and sharp?,LUXNet (ours),5,
32,Is the image clear and sharp?,LUXNet (ours),5,
33,Is the image clear and sharp?,LUXNet (ours),5,
34,Is the image clear and sharp?,LUXNet (ours),4,
35,Is the image clear and sharp?,LUXNet (ours),5,
36,Is the image clear and sharp?,LUXNet (ours),4,
37,Is the image clear and sharp?,LUXNet (ours),5,
38,Is the image clear and sharp?,LUXNet (ours),4,
39,Is the image clear and sharp?,LUXNet (ours),5,
40,Is the image clear and sharp?,LUXNet (ours),4,
41,Is the image clear and sharp?,LUXNet (ours),5,
42,Is the image clear and sharp?,LUXNet (ours),4,
43,Is the image clear and sharp?,LUXNet (ours),5,
44,Is the image clear and sharp?,LUXNet (ours),4,
45,Is the image clear and sharp?,LUXNet (ours),5,
46,Is the image clear and sharp?,LUXNet (ours),5,
47,Is the image clear and sharp?,LUXNet (ours),4,
48,Is the image clear and sharp?,LUXNet (ours),4,
49,Is the image clear and sharp?,LUXNet (ours),4,
50,Is the image clear and sharp?,LUXNet (ours),4,
51,Are the details adequately highlighted?,LUXNet (ours),4,
52,Are the details adequately highlighted?,LUXNet (ours),5,
53,Are the details adequately highlighted?,LUXNet (ours),5,
54,Are the details adequately highlighted?,LUXNet (ours),4,
55,Are the details adequately highlighted?,LUXNet (ours),4,
56,Are the details adequately highlighted?,LUXNet (ours),5,
57,Are the details adequately highlighted?,LUXNet (ours),4,
58,Are the details adequately highlighted?,LUXNet (ours),4,
59,Are the details adequately highlighted?,LUXNet (ours),4,
60,Are the details adequately highlighted?,LUXNet (ours),4,
61,Are the details adequately highlighted?,LUXNet (ours),4,
62,Are the details adequately highlighted?,LUXNet (ours),4,
63,Are the details adequately highlighted?,LUXNet (ours),4,
64,Are the details adequately highlighted?,LUXNet (ours),4,
65,Are the details adequately highlighted?,LUXNet (ours),5,
66,Are the details adequately highlighted?,LUXNet (ours),4,
67,Are the details adequately highlighted?,LUXNet (ours),4,
68,Are the details adequately highlighted?,LUXNet (ours),4,
69,Are the details adequately highlighted?,LUXNet (ours),4,
70,Are the details adequately highlighted?,LUXNet (ours),5,
71,Are the details adequately highlighted?,LUXNet (ours),4,
72,Are the details adequately highlighted?,LUXNet (ours),4,
73,Are the details adequately highlighted?,LUXNet (ours),4,
74,Are the details adequately highlighted?,LUXNet (ours),4,
75,Are the details adequately highlighted?,LUXNet (ours),5,
76,Are the details adequately highlighted?,LUXNet (ours),5,
77,Are the details adequately highlighted?,LUXNet (ours),4,
78,Are the details adequately highlighted?,LUXNet (ours),4,
79,Are the details adequately highlighted?,LUXNet (ours),4,
80,Are the details adequately highlighted?,LUXNet (ours),4,
81,Are the details adequately highlighted?,LUXNet (ours),5,
82,Are the details adequately highlighted?,LUXNet (ours),4,
83,Are the details adequately highlighted?,LUXNet (ours),4,
84,Are the details adequately highlighted?,LUXNet (ours),4,
85,Are the details adequately highlighted?,LUXNet (ours),5,
86,Are the details adequately highlighted?,LUXNet (ours),4,
87,Are the details adequately highlighted?,LUXNet (ours),4,
88,Are the details adequately highlighted?,LUXNet (ours),5,
89,Are the details adequately highlighted?,LUXNet (ours),4,
90,Are the details adequately highlighted?,LUXNet (ours),4,
91,Are the details adequately highlighted?,LUXNet (ours),4,
92,Are the details adequately highlighted?,LUXNet (ours),4,
93,Are the details adequately highlighted?,LUXNet (ours),4,
94,Are the details adequately highlighted?,LUXNet (ours),4,
95,Are the details adequately highlighted?,LUXNet (ours),4,
96,Are the details adequately highlighted?,LUXNet (ours),4,
97,Are the details adequately highlighted?,LUXNet (ours),4,
98,Are the details adequately highlighted?,LUXNet (ours),5,
99,Are the details adequately highlighted?,LUXNet (ours),4,
100,Are the details adequately highlighted?,LUXNet (ours),4,
101,Does the image accurately represent the scene?,LUXNet (ours),5,
102,Does the image accurately represent the scene?,LUXNet (ours),4,
103,Does the image accurately represent the scene?,LUXNet (ours),5,
104,Does the image accurately represent the scene?,LUXNet (ours),5,
105,Does the image accurately represent the scene?,LUXNet (ours),4,
106,Does the image accurately represent the scene?,LUXNet (ours),5,
107,Does the image accurately represent the scene?,LUXNet (ours),4,
108,Does the image accurately represent the scene?,LUXNet (ours),4,
109,Does the image accurately represent the scene?,LUXNet (ours),4,
110,Does the image accurately represent the scene?,LUXNet (ours),5,
111,Does the image accurately represent the scene?,LUXNet (ours),4,
112,Does the image accurately represent the scene?,LUXNet (ours),5,
113,Does the image accurately represent the scene?,LUXNet (ours),5,
114,Does the image accurately represent the scene?,LUXNet (ours),5,
115,Does the image accurately represent the scene?,LUXNet (ours),4,
116,Does the image accurately represent the scene?,LUXNet (ours),4,
117,Does the image accurately represent the scene?,LUXNet (ours),4,
118,Does the image accurately represent the scene?,LUXNet (ours),5,
119,Does the image accurately represent the scene?,LUXNet (ours),5,
120,Does the image accurately represent the scene?,LUXNet (ours),4,
121,Does the image accurately represent the scene?,LUXNet (ours),4,
122,Does the image accurately represent the scene?,LUXNet (ours),5,
123,Does the image accurately represent the scene?,LUXNet (ours),4,
124,Does the image accurately represent the scene?,LUXNet (ours),5,
125,Does the image accurately represent the scene?,LUXNet (ours),3,
126,Does the image accurately represent the scene?,LUXNet (ours),5,
127,Does the image accurately represent the scene?,LUXNet (ours),4,
128,Does the image accurately represent the scene?,LUXNet (ours),5,
129,Does the image accurately represent the scene?,LUXNet (ours),4,
130,Does the image accurately represent the scene?,LUXNet (ours),4,
131,Does the image accurately represent the scene?,LUXNet (ours),5,
132,Does the image accurately represent the scene?,LUXNet (ours),5,
133,Does the image accurately represent the scene?,LUXNet (ours),4,
134,Does the image accurately represent the scene?,LUXNet (ours),5,
135,Does the image accurately represent the scene?,LUXNet (ours),4,
136,Does the image accurately represent the scene?,LUXNet (ours),4,
137,Does the image accurately represent the scene?,LUXNet (ours),5,
138,Does the image accurately represent the scene?,LUXNet (ours),5,
139,Does the image accurately represent the scene?,LUXNet (ours),4,
140,Does the image accurately represent the scene?,LUXNet (ours),4,
141,Does the image accurately represent the scene?,LUXNet (ours),5,
142,Does the image accurately represent the scene?,LUXNet (ours),4,
143,Does the image accurately represent the scene?,LUXNet (ours),5,
144,Does the image accurately represent the scene?,LUXNet (ours),4,
145,Does the image accurately represent the scene?,LUXNet (ours),4,
146,Does the image accurately represent the scene?,LUXNet (ours),4,
147,Does the image accurately represent the scene?,LUXNet (ours),4,
148,Does the image accurately represent the scene?,LUXNet (ours),4,
149,Does the image accurately represent the scene?,LUXNet (ours),5,
150,Does the image accurately represent the scene?,LUXNet (ours),4,
151,Is the contrast well-balanced?,LUXNet (ours),4,
152,Is the contrast well-balanced?,LUXNet (ours),4,
153,Is the contrast well-balanced?,LUXNet (ours),4,
154,Is the contrast well-balanced?,LUXNet (ours),5,
155,Is the contrast well-balanced?,LUXNet (ours),4,
156,Is the contrast well-balanced?,LUXNet (ours),5,
157,Is the contrast well-balanced?,LUXNet (ours),4,
158,Is the contrast well-balanced?,LUXNet (ours),4,
159,Is the contrast well-balanced?,LUXNet (ours),5,
160,Is the contrast well-balanced?,LUXNet (ours),4,
161,Is the contrast well-balanced?,LUXNet (ours),5,
162,Is the contrast well-balanced?,LUXNet (ours),5,
163,Is the contrast well-balanced?,LUXNet (ours),4,
164,Is the contrast well-balanced?,LUXNet (ours),5,
165,Is the contrast well-balanced?,LUXNet (ours),4,
166,Is the contrast well-balanced?,LUXNet (ours),4,
167,Is the contrast well-balanced?,LUXNet (ours),5,
168,Is the contrast well-balanced?,LUXNet (ours),4,
169,Is the contrast well-balanced?,LUXNet (ours),4,
170,Is the contrast well-balanced?,LUXNet (ours),4,
171,Is the contrast well-balanced?,LUXNet (ours),5,
172,Is the contrast well-balanced?,LUXNet (ours),4,
173,Is the contrast well-balanced?,LUXNet (ours),4,
174,Is the contrast well-balanced?,LUXNet (ours),4,
175,Is the contrast well-balanced?,LUXNet (ours),5,
176,Is the contrast well-balanced?,LUXNet (ours),4,
177,Is the contrast well-balanced?,LUXNet (ours),4,
178,Is the contrast well-balanced?,LUXNet (ours),4,
179,Is the contrast well-balanced?,LUXNet (ours),4,
180,Is the contrast well-balanced?,LUXNet (ours),4,
181,Is the contrast well-balanced?,LUXNet (ours),5,
182,Is the contrast well-balanced?,LUXNet (ours),4,
183,Is the contrast well-balanced?,LUXNet (ours),4,
184,Is the contrast well-balanced?,LUXNet (ours),4,
185,Is the contrast well-balanced?,LUXNet (ours),4,
186,Is the contrast well-balanced?,LUXNet (ours),5,
187,Is the contrast well-balanced?,LUXNet (ours),4,
188,Is the contrast well-balanced?,LUXNet (ours),4,
189,Is the contrast well-balanced?,LUXNet (ours),4,
190,Is the contrast well-balanced?,LUXNet (ours),5,
191,Is the contrast well-balanced?,LUXNet (ours),5,
192,Is the contrast well-balanced?,LUXNet (ours),4,
193,Is the contrast well-balanced?,LUXNet (ours),4,
194,Is the contrast well-balanced?,LUXNet (ours),4,
195,Is the contrast well-balanced?,LUXNet (ours),3,
196,Is the contrast well-balanced?,LUXNet (ours),4,
197,Is the contrast well-balanced?,LUXNet (ours),4,
198,Is the contrast well-balanced?,LUXNet (ours),4,
199,Is the contrast well-balanced?,LUXNet (ours),4,
200,Is the contrast well-balanced?,LUXNet (ours),5,
201,Are the edges well-defined and smooth?,LUXNet (ours),4,
202,Are the edges well-defined and smooth?,LUXNet (ours),4,
203,Are the edges well-defined and smooth?,LUXNet (ours),4,
204,Are the edges well-defined and smooth?,LUXNet (ours),4,
205,Are the edges well-defined and smooth?,LUXNet (ours),3,
206,Are the edges well-defined and smooth?,LUXNet (ours),4,
207,Are the edges well-defined and smooth?,LUXNet (ours),4,
208,Are the edges well-defined and smooth?,LUXNet (ours),4,
209,Are the edges well-defined and smooth?,LUXNet (ours),4,
210,Are the edges well-defined and smooth?,LUXNet (ours),4,
211,Are the edges well-defined and smooth?,LUXNet (ours),4,
212,Are the edges well-defined and smooth?,LUXNet (ours),4,
213,Are the edges well-defined and smooth?,LUXNet (ours),5,
214,Are the edges well-defined and smooth?,LUXNet (ours),5,
215,Are the edges well-defined and smooth?,LUXNet (ours),4,
216,Are the edges well-defined and smooth?,LUXNet (ours),4,
217,Are the edges well-defined and smooth?,LUXNet (ours),4,
218,Are the edges well-defined and smooth?,LUXNet (ours),5,
219,Are the edges well-defined and smooth?,LUXNet (ours),5,
220,Are the edges well-defined and smooth?,LUXNet (ours),5,
221,Are the edges well-defined and smooth?,LUXNet (ours),4,
222,Are the edges well-defined and smooth?,LUXNet (ours),4,
223,Are the edges well-defined and smooth?,LUXNet (ours),5,
224,Are the edges well-defined and smooth?,LUXNet (ours),5,
225,Are the edges well-defined and smooth?,LUXNet (ours),4,
226,Are the edges well-defined and smooth?,LUXNet (ours),4,
227,Are the edges well-defined and smooth?,LUXNet (ours),5,
228,Are the edges well-defined and smooth?,LUXNet (ours),5,
229,Are the edges well-defined and smooth?,LUXNet (ours),5,
230,Are the edges well-defined and smooth?,LUXNet (ours),4,
231,Are the edges well-defined and smooth?,LUXNet (ours),4,
232,Are the edges well-defined and smooth?,LUXNet (ours),5,
233,Are the edges well-defined and smooth?,LUXNet (ours),5,
234,Are the edges well-defined and smooth?,LUXNet (ours),4,
235,Are the edges well-defined and smooth?,LUXNet (ours),4,
236,Are the edges well-defined and smooth?,LUXNet (ours),4,
237,Are the edges well-defined and smooth?,LUXNet (ours),5,
238,Are the edges well-defined and smooth?,LUXNet (ours),4,
239,Are the edges well-defined and smooth?,LUXNet (ours),4,
240,Are the edges well-defined and smooth?,LUXNet (ours),4,
241,Are the edges well-defined and smooth?,LUXNet (ours),5,
242,Are the edges well-defined and smooth?,LUXNet (ours),4,
243,Are the edges well-defined and smooth?,LUXNet (ours),4,
244,Are the edges well-defined and smooth?,LUXNet (ours),5,
245,Are the edges well-defined and smooth?,LUXNet (ours),2,
246,Are the edges well-defined and smooth?,LUXNet (ours),4,
247,Are the edges well-defined and smooth?,LUXNet (ours),4,
248,Are the edges well-defined and smooth?,LUXNet (ours),4,
249,Are the edges well-defined and smooth?,LUXNet (ours),5,
250,Are the edges well-defined and smooth?,LUXNet (ours),4,
251,Are the colors well-coordinated?,LUXNet (ours),4,
252,Are the colors well-coordinated?,LUXNet (ours),5,
253,Are the colors well-coordinated?,LUXNet (ours),5,
254,Are the colors well-coordinated?,LUXNet (ours),4,
255,Are the colors well-coordinated?,LUXNet (ours),5,
256,Are the colors well-coordinated?,LUXNet (ours),4,
257,Are the colors well-coordinated?,LUXNet (ours),4,
258,Are the colors well-coordinated?,LUXNet (ours),5,
259,Are the colors well-coordinated?,LUXNet (ours),4,
260,Are the colors well-coordinated?,LUXNet (ours),5,
261,Are the colors well-coordinated?,LUXNet (ours),4,
262,Are the colors well-coordinated?,LUXNet (ours),4,
